rank,timestamp_utc,type,author,author_url,score,engagement,likes,recasts,replies,theme,visibility,hash,cast_url,parent_hash,preview,text
2,2026-08-21 00:30:18,post,@kenjiquest,https://farcaster.xyz/kenjiquest,8.63,65.00,27,7,9,Base Culture,general,0xdd39945c9a2d61ad39d5470d6c025969d3fb4a81,https://farcaster.xyz/kenjiquest/0xdd39945c,,"I've had my attention being divided in so many directions, that there are some fun stuff I've just put to the side and left on the back burner (while AI video quality just keeps...","I've had my attention being divided in so many directions, that there are some fun stuff I've just put to the side and left on the back burner (while AI video quality just keeps..."
3,2026-08-20 21:11:44,post,@mattlee,https://farcaster.xyz/mattlee,8.79,51.00,29,3,5,Protocol/Fork,general,0xd452e8e5e2dc004abead3209e630526d38e26aa1,https://farcaster.xyz/mattlee/0xd452e8e5,,"I don't think Farcaster will die, at least not anytime soon, but the whole point of decentralization is for us to stay in control of our own online presence and relationships, a...","I don't think Farcaster will die, at least not anytime soon, but the whole point of decentralization is for us to stay in control of our own online presence and relationships, a..."
4,2026-08-21 01:31:48,post,@kenny,https://farcaster.xyz/kenny,8.54,41.90,26,3,4,Protocol/Fork,general,0xd2a5af64e6912f006f22c0cf01078362588be271,https://farcaster.xyz/kenny/0xd2a5af64,,didn't realize was such an active commenter ty Quorum feed,didn't realize was such an active commenter ty Quorum feed
5,2026-08-21 05:24:53,post,@basedcoin,https://farcaster.xyz/basedcoin,4.68,29.80,4,5,7,Base Culture,general,0xc7969258a0e3a50734aedadbeb2a0a396e11029a,https://farcaster.xyz/basedcoin/0xc7969258,,the biggest lottery onchain basedlotto.com,the biggest lottery onchain basedlotto.com
7,2026-08-20 13:13:23,post,@ael-dev,https://farcaster.xyz/ael-dev,7.35,20.50,15,0,1,Apps/Games,general,0x501c323de2a55d2cf6e959bf1d12e3c6951844b3,https://farcaster.xyz/ael-dev/0x501c323d,,Took a bit longer than 24 hours lol but Hypersnap node is synced locally Researching if I can setup Snapchain node for data I need for my mini app,Took a bit longer than 24 hours lol but Hypersnap node is synced locally Researching if I can setup Snapchain node for data I need for my mini app
9,2026-08-20 17:07:52,post,@maxdo,https://farcaster.xyz/maxdo,6.27,19.50,9,2,1,Base Culture,general,0x24dcffe61f8b6149569ea9aff71b480e9cc85d29,https://farcaster.xyz/maxdo/0x24dcffe6,,this is the purest thing 21 people are on the site at the moment 3k visits of the page per day for over a week people that visit and stay just because they like to they don't kn...,this is the purest thing 21 people are on the site at the moment 3k visits of the page per day for over a week people that visit and stay just because they like to they don't kn...
12,2026-08-20 15:03:37,post,@decent-artlu,https://farcaster.xyz/decent-artlu,5.10,15.00,5,0,2,Protocol/Fork,general,0x47da6e4573a9ca4774733c1c547b35ba1486bf37,https://farcaster.xyz/decent-artlu/0x47da6e45,,"the future of fc will likely be more chinese suji and cassie are both chinese-speaking free speech warriors, whose public bios and technical choices have consistently upheld the...","the future of fc will likely be more chinese suji and cassie are both chinese-speaking free speech warriors, whose public bios and technical choices have consistently upheld the..."
17,2026-08-20 17:02:57,post,@jpfraneto,https://farcaster.xyz/jpfraneto,6.27,13.90,9,0,1,Base Culture,question,0x3f24237d7eb221971849e5f9baf2bd406e208645,https://farcaster.xyz/jpfraneto/0x3f24237d,,lmao. if you could throw an atomic bomb to the base app and start it from scratch: how would it be? what would it do?,lmao. if you could throw an atomic bomb to the base app and start it from scratch: how would it be? what would it do?
22,2026-08-20 22:04:28,post,@maxdo,https://farcaster.xyz/maxdo,4.68,11.90,4,1,2,Base Culture,general,0xed5cee5e93345dc708342e4c9c3cecadc8519623,https://farcaster.xyz/maxdo/0xed5cee5e,,once you're truly based - there's no going back,once you're truly based - there's no going back
25,2026-08-20 18:00:59,post,@aaronj,https://farcaster.xyz/aaronj,2.59,11.00,1,0,2,Base Culture,general,0xbb925822950ccbfb93c1155a3e094fcefa074335,https://farcaster.xyz/aaronj/0xbb925822,,"one year ago during eth cc cannes, I built a memory layer for AI agents on https://x.com/ensdomains & https://x.com/base, inspired by SOUL.md still no idea why ENS never leaned ...","one year ago during eth cc cannes, I built a memory layer for AI agents on https://x.com/ensdomains & https://x.com/base, inspired by SOUL.md still no idea why ENS never leaned ..."
